study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3
study2,a,01,p01a.txt,"Sophia straightened her suit, took a deep breath, and entered the hotel's bar, just off the lobby. She took a seat at an empty high-top table. She ordered an amber beer, hoping to calm her nerves. The waitress arrived carrying Sophia's drink as well as an expensive wine. She set Sophia's order on the table and moved on. Before Sophia could even take a sip, her cell phone rang. It was the client calling to confirm their meeting in the lobby of the Madison Hotel. The Madison Hotel? Sophia was sitting in the wrong hotel. The Madison was several miles away! She maintained her composure and assured the client that their meeting together would begin in two hours. Sophia hung up her phone and reviewed her papers for the next hour before she left the hotel. By this time, it was raining heavily outside. Sophia stopped at the drugstore down the block to buy an umbrella. The store was crowded and it took half an hour to complete the purchase. Stepping back onto the street, she decided to walk instead of taking a cab. This would give her time to find her focus. An hour later, Sophia finally arrived at the Madison Hotel. Despite her umbrella, she was soaking wet so she headed to the restroom to freshen up. A half hour later, Sophia walked through the lobby where she saw the client impatiently waiting. He rose from his chair and instantly launched into a list of his complaints. Sophia pasted a smile on her face and found herself wishing for the amber beverage she left back in the bar. She mentally prepared herself for what was sure to be a difficult meeting.","['What amber beverage did Sophia leave back at the bar?', 'What did Sophia do before she left the bar?', 'Where was Sophia supposed to meet the client?']",A $200 bottle of champagne,"Washed my hands, got dressed, and left the bar.",In the lobby.
study2,a,02,p02a.txt,"Everyone squeezed into the family room, anxious to begin the treasure hunt, an annual family tradition. Joshua loved the party atmosphere and could hardly wait for the day's activities. Children pushed and giggled and the adults gossiped until the booming voice of the jolly uncle could be heard over the excited crowd. ""Everyone knows how this works,"" he shouted. ""I've hidden the family trophy. We end today's search at the park next door. Remember, the first one to find it receives the cash prize and bragging rights for a year. Same rules as always! Ready, set... Go!"" A silly cousin pushed past everyone. Joshua's heart fluttered in excitement. The trophy was hidden somewhere in the neighborhood. Joshua wanted to be sure he wouldn't be followed. After a half hour of waiting, he was finally able to leave the house. He crept down several streets. Joshua peeked around a corner, and made his way past several houses. Twenty minutes later, he ducked around a corner when he spotted some cousins in the distance. He hid from them by crouching behind a rock. Thirty minutes later, he ran past several houses, arriving at the yard with the hollow tree. Climbing the fence, he tore his pants in his haste. Joshua walked to the other side, finally reaching the tree. Wrong one. He checked the other trees in the yard, finally coming to the last one several minutes later. Joshua peered inside and discovered the hidden treasure. He took some time to celebrate his victory. Then, Joshua grabbed the trophy and strolled to the park three blocks down. The jolly relative rang a large bell to signal the end of the treasure hunt. Once everyone had gathered in the park, he picked up the excited boy and, holding him high, pronounced Joshua the winner. The family surrounded the boy with their congratulations; the younger ones helping Joshua celebrate his new windfall. Still laughing and talking, the family sat at the picnic table for the celebratory meal.","['What jolly relative announced the winner at the end of the story?', 'Where was the trophy hidden?', 'Where did the treasure hunt take place?']",Joshua.,In a tree.,"The next time Joshua was home, he took the prize he had hidden and hid it in a hollow tree."
study2,a,03,p03a.txt,"Wiping his brow with the kitchen towel, the chef paused for a moment in his preparations to survey the mess he had created. This meal had to be perfect, flawless from the appetizers to the dessert. Not wanting to waste time, he picked up the metal knife and continued to prepare the vegetables for the salad. The timer sounded, signaling that it was time to apply the herb rub to the roast. The chef accidently knocked over some plastic spoons in his hurry to whisk the roast out of the oven. Where did he put those spices? How could he have forgotten something like that on such an important day? He must have left them in his catering van. The chef sat down in the kitchen and rested his head on the counter in discouragement. A half hour later, he roused himself and plodded through the rented hall until he reached the exit. Slowly opening the double doors, he started to walk up San Francisco's steepest hill. He strolled past a florist and a pastry shop, but he still had a mile to go before he reached his van, which was parked at the very top. After thirty minutes of walking, the chef was becoming very tired. He looked downhill, along the tracks, but there was no trolley approaching He continued on his journey. His pace slowed. It was an hour before he finally reached his van. He grabbed the forgotten box of spices and breathed a sigh of relief. The chef could envision how everything would go. He would first combine the spices in a bowl. Then, he would slide the seasoned roast back into the oven. Finally, he would use his metal utensil to complete the preparations. If tonight was successful, he could look forward to an exciting career in the catering business.","['Which metal utensil would the chef use to complete his preparations?', 'Given how long it took to retrieve his spices, should the chef have been so frustrated?', 'Where was the chef when he realized he forgot his spice kit?']",His metal spoon,No.,"He was standing at the kitchen counter in his kitchen, waiting for the roast to finish preparing."
study2,a,05,p05a.txt,"The two girls had never been to the zoo. This trip with their father, Jared, would be the first. The girls endlessly reminded their father that they had to see the fierce lion while they were there. Jared reminded his girls of the other animals they could see such as a shy bear but the girls would not be distracted from their goal. They lumbered around their house as they tried to get ready to go. The girls complained long and hard about brushing their teeth. Twenty minutes later, they finally consented to this chore. After combing their hair, the family was finally ready to leave the house They were already an hour behind schedule! They piled into the family's minivan. Traffic was heavy, and it took another hour to cover the ten miles to the zoo. When they arrived, Jared searched the parking lot. The only parking spot was far from the zoo's entrance. He grabbed his girls by their hands and they slowly made their way to the exhibit. Jumping up and down in excitement, the girls could finally see the fierce animal in its cage in the distance. After the girls had their fill of looking at that exhibit, they smiled with satisfaction. The zoo had been a success.","['What fierce animal did the daughters want to see?', 'How long did it take for the family to arrive at the exhibit?', 'How far away was the exhibit located?']",The lion!,Five hours.,The exhibit was located twenty feet away from the zoo entrance.
study2,a,06,p06a.txt,"The aviation mechanic buried his head in his work rag. He attempted to soak up some of the sweat streaming down his face. He had forgotten a few of his tools, including the one he needed for this repair. He kicked the metal chair. He longed for the days when he was part of a line maintenance crew, making the simple checks and adjustments necessary before take-offs. He threw his sweat-soaked towel on the wooden desk. He was up against a deadline, and he froze with fear. It took him a half hour to calm down. He exited the hangar. He trudged off toward his car in the remote parking lot, where he kept his toolbox. A half hour later, he strolled past the control tower. He paused to dissect last night's game with his friend. They talked for an hour before Sam had to get back to work. The mechanic walked past the main office to pick up his paycheck. This took a half hour because of all of the paperwork. He then made his way past the terminal, getting caught up in the mob of travelers. He continued to his car on the far side of the parking lot. The mechanic opened the trunk and rummaged through his toolbox. It took forever to locate the forgotten tool. Tired and hot, he thought about his problem controlling his temper. He felt foolish for kicking the metal furniture earlier when he was frustrated. Experience had told him that simple mistakes were nothing to get upset about. Problems usually resolved themselves in the end.","['What piece of furniture did the mechanic kick out of frustration?', 'Where did the mechanic find his toolbox?', 'What was the first thing the mechanic did in order to find his toolbox?']",The metal chair.,The mechanic was sitting in the cockpit when he was suddenly overcome with anxiety.,He walked on the road for half an hour.
study2,a,07,p07a.txt,"Jason looked around his high school gymnasium. It was overwhelmed by the large number of booths, each representing a different career. He wanted to pursue a career as a wealthy lawyer, so locating that information table was his top priority. He stepped around the display that encouraged people to explore the possibility of becoming a caring doctor. Jason was grateful for the opportunity to learn more about a variety of jobs. His class requirement was to distribute a minimum of three resumes and participate in interviews today. Jason opened his bag to remove his resumes. He was irritated to realize that he had forgotten them at home. Unfortunately, his home was several miles away. Before leaving, however, Jason spent an hour just wandering around the gymnasium looking at the displays. Frustrated he didn't have his resumes to hand out, he exited the gym and began the long walk home. After a mile, he came to a park. He was hot, and purchased an ice cream cone. He sat on the bench and ate it slowly. Feeling tired, he stretched out and took a nap on the bench. When he awoke, he continued his trip. It took another half hour to walk past the high school with its many athletic fields. He was tired when he finally arrived at his house. He picked through the stack of newspapers on the coffee table. Thirty minutes later, he found his stack of resumes under the papers. Jason was relieved he had the necessary paperwork to start looking into the wealthy career he was interested in. He stuffed the stack of resumes in his bag.","['What wealthy career did Jason wish to pursue?', 'How long did it take Jason to find his resumes?', 'Where did Jason first look for his resumes?']",He wanted to become a wealthy lawyer.,"I don't know for sure, but I would guess between 45 minutes and an hour.",What are your top five sources of resume information?
study2,a,08,p08a.txt,"A soft breeze swirled Tamika's skirt around her ankles. The only sound in the cemetery was the whispering leaves. Tamika wiped a tear from her cheek as she stood by her mother's grave. Her mother's favorite flowers were white roses. Tamika placed a bouquet of them on the grave. Tamika stepped past the purple tulips at the gated entrance. She paused at a bench outside the cemetery. She wasn't in a hurry to leave her hometown. She was meeting her friend for lunch in a neighboring town, but that wasn't for several hours. As usual, Tamika was overwhelmed by emotions and memories. She closed her eyes and began to meditate. When she was completely calm, she exhaled deeply and checked her watch. Two hours had gone by! She crossed the street, got in her car, and set off. At the outskirts of town, she stopped for a cup of coffee. Tamika savored her warm beverage over the next hour. When it was finished, she returned to her car and covered the remaining miles to the next town. The cafe was very busy and Tamika had to wait for a half hour before she was finally seated. Finally, she plopped down in a seat and sighed. Even though it had been a difficult visit, Tamika was happy that she had put the white flowers on the headstone of her mother's grave. She was sure that her mother would enjoy looking down on those beautiful blooms dancing in the breeze.","[""What kind of white flowers did Tamika put on her mother's grave?"", 'How far away was the restaurant where Tamika met her friend for lunch?', 'How long did Tamika have to wait before she was seated at the restaurant?']",White florals.,The restaurant was a block or two away from the cemetery.,About two hours.
study2,a,09,p09a.txt,"Sirens sounded in the distance. The criminal knew the authorities were closing in. He used a rusty hammer to pry open the old basement window. He stepped over the cordless drill on the floor and started to climb out of the window. However, he saw lights so he retreated back inside. He sprinted through the house. The criminal burst through the front door. He knew he was safe from the authorities because the entrance was completely hidden by tall hedges. He paused for a moment, wondering what he could do to evade the law. Logic dictated that he stick to the shadows and proceed at a slow and deliberate pace, to avoid being discovered. The criminal used his common sense and started crawling. It was the only option. After several agonizing hours, he came to a wooded area one mile away. The criminal slowly made his way through the trees. He crawled and crept for another hour. Finally, he came to a park another mile away. Suddenly, he heard sirens. He ducked inside a tube slide to hide. He prayed that his hiding spot wouldn't be discovered. It was too dangerous to travel now, so he settled in for a nap. Waking several hours later, the criminal left his hiding place behind. He crept through the neighborhood until he found a seemingly abandoned house. The sun was beginning to rise as he paused to catch his breath and listen. The criminal decided it was safe to break into the house. He struggled to open a side window. The criminal wished he still had the rusty tool to help him in his efforts. After he got inside, he tiptoed around. When he arrived in the kitchen, his heart sank when he saw two officers waiting to apprehend him.","['What rusty tool did the criminal wish he still had?', 'Where was the criminals new hiding place?', 'Did the police apprehend the criminal in a timely manner?']",A hammer,The basement.,No.
study2,a,10,p10a.txt,"Following the doctor's visit, The tension in the hospital room was palpable. All the parents could hear was the echo of the doctor's diagnosis: their daughter was battling advanced cancer. Life could be so unfair. The patient in the next room only had to combat a pesky flu. The parents were eager to do something to cheer up their daughter. They decided to find something that would make her smile when she woke up. The father remembered the gift store that he and his wife had seen. The father decided to buy their daughter a new teddy bear. His wife asked him to go to the gift store that was several blocks away. She could see that he was emotionally drained, and thought he could use a couple of hours to regain his strength. The father plodded through the 7th floor of the hospital in a state of shock. He waited a long time for the elevator. When he finally got to the lobby, he saw his neighbors holding colorful balloons for his daughter. The father broke the devastating news to the group. It took an hour to answer all of their questions. When he finished, he exited the hospital. He slowly walked the several blocks to the gift store. When he finally arrived, he found the place packed with customers. His purchase took a half hour. As he exited the store, he tucked the teddy bear under his arm and took a deep breath. He knew they could be strong as they fought this advanced disease together as a family. Together, they would make it through this.","['What advanced disease was the daughter battling?', 'Where was the gift store located?', ""What was the first thing the father did when he left his daughter's room?""]",Her malignant tumor (cancer) had spread to her lungs.,The gift store was located on the 7th floor of the hospital.,He bought her a new teddy bear.
study2,a,11,p11a.txt,"The music instructor looked outside. The snow that was falling beyond her window was dense and wet. Running her fingers lovingly over the shabby piano, she sighed. She pushed aside her husband's metal clarinet collection and started to prepare for the day. She was already cold when she struggled into her coat. The music instructor traveled miles every day so she could give students lessons in their homes. Today she dreaded leaving her home. She put her cell phone in her pocket and walked outside. She grabbed the shovel by the door and cleared the driveway. She then started on her ten-mile trip through the elements. She drove carefully to the house of her first student, Anya. It took longer than usual, but at least she arrived safely. Anya's lesson was an hour long, but she was a poor student, and the time passed very slowly. When she finished, she backed out of the driveway and drove three more miles to her next lesson at Amy's house. Amy was a much better student. She made a lot of progress over the next hour with the music instructor's help. The instructor drove two more miles until she reached her final lesson at Jose's house. The hour-long lesson was very frustrating. She returned to her car and started the engine. She was exhausted from the long day. She looked forward to spending the evening in the warmth of her home, her fingers dancing over the shabby instrument that she had always loved. She couldn't wait to ease into a familiar aria, letting her eyes drift closed so she could completely enjoy the music as she played. She hoped that someday one of her students would find the release and comfort that she did when she sat down on the bench.","['What shabby musical instrument did the instructor love playing?', 'Where did the music instructor give her lessons?', 'How many students did the music instructor see today?']",The shabby musical instrument that she loved playing was the piano.,"At the end of each lesson, the instructor would walk the students out to the street and offer a few words of encouragement.",Five.
