Passage,Answer_Index,Answer
1,1,An old and dented van.
1,2,Gum.
1,3,For Thanksgiving.
1,4,To get some coffee.
2,1,A van.
2,2,Gum.
2,3,For Thanksgiving.
2,4,For coffee.
3,1,An old and dented van.
3,2,Gum.
3,3,For Thanksgiving.
3,4,To get some coffee.
4,1,A van.
4,2,Gum.
4,3,For Thanksgiving.
4,4,For coffee to stay awake.
5,1,A finger.
5,2,A game to play.
5,3,Sunday.
5,4,An hour.
6,1,A finger.
6,2,A game to play.
6,3,Sunday.
6,4,An hour.
7,1,A finger.
7,2,A game to play.
7,3,Sunday.
7,4,An hour.
8,1,A finger.
8,2,A game to play.
8,3,Sunday.
8,4,An hour.
9,1,A ticket to her show.
9,2,A wallet.
9,3,Eight hours.
9,4,New York.
10,1,A ticket to her show.
10,2,A wallet.
10,3,Eight hours.
10,4,New York.
11,1,A ticket to her show.
11,2,A wallet.
11,3,Eight hours.
11,4,New York.
12,1,A ticket to her show.
12,2,A wallet.
12,3,Eight hours.
12,4,New York.
13,1,An expensive vase.
13,2,A watch.
13,3,Because she was losing customers due to her inability to help everyone.
13,4,Five o'clock.
14,1,An expensive vase.
14,2,A watch.
14,3,Because she was losing customers due to being overworked.
14,4,Five o'clock.
15,1,An expensive vase.
15,2,A watch.
15,3,Because she was losing customers due to her inability to help everyone.
15,4,Five o'clock.
16,1,An expensive vase.
16,2,A watch.
16,3,Because she was losing customers due to her heavy workload.
16,4,Five o'clock.
17,1,A briefcase.
17,2,The porter.
17,3,The airport.
17,4,Yes.
18,1,A briefcase.
18,2,The porter.
18,3,The airport.
18,4,Yes (He gave Max a huge tip.) (Note: The man never said a word to Max.) (Note: The huge tip was a clue that the man was a high-ranking official.) (Note: The man was probably a government official.) (Note: The man was probably a spy.) (Note: The man was probably a fugitive.) (Note: The man was probably a prisoner.) (Note: The man was probably a prisoner being taken to a place of safety.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity so he could live a normal life.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity so he could live a normal life and be happy.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity so he could live a normal life and be happy and free.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity so he could live a normal life and be happy and free from the law.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity so he could live a normal life and be happy and free from the law and start over.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity so he could live a normal life and be happy and free from the law and start over in a new place.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his enemies and to be given a new identity so he could live a normal life and be happy and free from the law and start over in a new place with a new name.) (Note: The man was probably a prisoner being taken to a place of safety to be protected from his.
19,1,A briefcase.
19,2,The porter.
19,3,The airport.
19,4,Yes.
20,1,A briefcase.
20,2,The porter.
20,3,The airport.
20,4,"Yes, a huge tip."
21,1,Her microwave.
21,2,Perfume.
21,3,Her apartment.
21,4,Her father's car.
22,1,Her microwave.
22,2,Perfume.
22,3,Her apartment.
22,4,Her father's car.
23,1,Her microwave.
23,2,Her perfume.
23,3,Her apartment.
23,4,Her father's car.
24,1,Her microwave.
24,2,Perfume.
24,3,Her apartment.
24,4,Her father's car.
25,1,Major.
25,2,Banker.
25,3,Embassy official.
25,4,Correspondent for United Press.
26,1,Major.
26,2,Banker.
26,3,Embassy official.
26,4,Correspondent for United Press.
27,1,Major.
27,2,Banker.
27,3,Embassy official.
27,4,Correspondent for United Press.
28,1,Major.
28,2,Banker.
28,3,Embassy official.
28,4,Correspondent for United Press.
29,1,A doll.
29,2,A pie.
29,3,Because the stores were crowded.
29,4,At her girlfriend's apartment.
30,1,A doll.
30,2,A pie.
30,3,Because the stores were crowded.
30,4,At her girlfriend's apartment.
31,1,A doll.
31,2,A pie.
31,3,The stores were crowded.
31,4,At her girlfriend's apartment.
32,1,A doll.
32,2,A pie.
32,3,The stores were crowded.
32,4,At her girlfriend's apartment.
33,1,His bike brakes.
33,2,An apple.
33,3,Fall.
33,4,A friend of Bob's.
34,1,The brakes on his bike.
34,2,An apple from an apple tree.
34,3,Fall.
34,4,A friend.
35,1,The brakes on his bike.
35,2,An apple from an apple tree.
35,3,Fall.
35,4,A friend.
36,1,The brakes on his bike.
36,2,An apple from an apple tree.
36,3,Fall.
36,4,A friend.
37,1,A policeman.
37,2,A banana.
37,3,All.
37,4,
38,1,A policeman.
38,2,A banana.
38,3,All.
38,4,
39,1,A policeman.
39,2,A banana 3.
39,3,
39,4,
40,1,A policeman.
40,2,A banana 3.
40,3,
40,4,
41,1,Beer.
41,2,Baseball.
41,3,Boston.
41,4,Ten years.
42,1,A glass of beer.
42,2,Baseball.
42,3,Boston.
42,4,Ten years.
43,1,A glass of beer.
43,2,Baseball.
43,3,Boston.
43,4,Ten years.
44,1,A glass of beer.
44,2,Baseball.
44,3,Boston.
44,4,Ten years.
45,1,By train.
45,2,Corn.
45,3,The country.
45,4,Because he could call them his own.
46,1,By train.
46,2,Corn.
46,3,The country.
46,4,Because he could call them his own.
47,1,By train.
47,2,Corn.
47,3,The country.
47,4,Because he could call them his own.
48,1,By train.
48,2,Corn.
48,3,In the country.
48,4,Because he could call them his own.
49,1,A large book.
49,2,A radio.
49,3,Diane's arm.
49,4,Cuba.
50,1,A large book.
50,2,A radio.
50,3,Diane's arm.
50,4,Cuba.
51,1,A large book.
51,2,A radio.
51,3,Diane's arm.
51,4,Cuba.
52,1,A large book.
52,2,A radio.
52,3,Diane's arm.
52,4,Cuba.
53,1,The ladder.
53,2,The basement.
53,3,Tom.
53,4,A sandwich.
54,1,The ladder.
54,2,The basement.
54,3,Tom.
54,4,A sandwich.
55,1,The ladder.
55,2,The basement.
55,3,Tom.
55,4,A sandwich.
56,1,The ladder.
56,2,The basement.
56,3,Tom.
56,4,A sandwich.
57,1,A boat.
57,2,An old glove.
57,3,Down by the lake.
57,4,Pancakes.
58,1,A boat.
58,2,An old glove.
58,3,Down by the lake.
58,4,Pancakes.
59,1,A building and a boat.
59,2,An old glove.
59,3,Down by the lake.
59,4,Pancakes.
60,1,A building and a boat.
60,2,An old glove.
60,3,Down by the lake.
60,4,Pancakes.
61,1,A knife.
61,2,The woman's money.
61,3,He knew the defense attorney would try to discredit his testimony.
61,4,To show his boss that he had deserved his recent promotion.
62,1,A knife.
62,2,The woman's money.
62,3,He knew the defense attorney would try to discredit his testimony.
62,4,To show his boss that he had deserved his recent promotion.
63,1,A knife.
63,2,The woman's money.
