study,version,passage_num,passage_key,question_num,question_id,question,generated_answer,passage_text,passage_file,judge_score,judge_reasoning,is_correct,correct_answer
study3,A,1,01,1,1,What was the man driving?,A van,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,"The generated answer ""A van"" factually identifies the object, matching the correct answer ""van.""",True,van
study3,A,1,01,2,2,What did the man buy?,Gum,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,"The generated answer ""Gum"" is identical to the correct answer ""gum"" (differences in capitalization are ignored).",True,gum
study3,B,1,01,1,1,What was the man driving?,A van,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,"The generated answer 'A van' accurately identifies the vehicle, matching the factual content of the correct answer 'van'. The inclusion of the article 'A' does not detract from correctness.",True,van
study3,B,1,01,2,2,What did the man buy?,Gum,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,The generated answer 'Gum' correctly matches the factual content of the correct answer 'gum'.,True,gum
study3,C,1,01,1,1,What was the man driving?,A van,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,"The generated answer 'A van' is factually correct and accurately identifies the vehicle, matching the intended correct answer 'van'. The inclusion of the article 'A' does not detract from the factual correctness.",True,van
study3,C,1,01,2,2,What did the man buy?,Gum,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,The generated answer 'Gum' is factually identical to the correct answer 'gum'.,True,gum
study3,D,1,01,1,1,What was the man driving?,A van,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,The generated answer 'A van' is factually equivalent to the correct answer 'van'. The addition of the indefinite article does not change the correctness of the response regarding the vehicle type.,True,van
study3,D,1,01,2,2,What did the man buy?,Gum,"Dan had been driving almost all night in order to get home for Thanksgiving. While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee. Before going inside, Dan walked around in the fresh air.  While he was stretching 1 jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roam around the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man 2 thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as he was  leaving, the police came in.  They said they wanted to ask about the man who had just left.  They asked Dan if he 3",1.txt,1.0,"The generated answer 'Gum' is an exact match to the correct answer 'gum', differing only by capitalization, which is typically ignored in comprehension scoring.",True,gum
study3,A,2,02,1,1,What had the boy broken?,A finger,"Karen had been working in the emergency room since she had become a nurse several years ago.  She loved working in the emergency room because she found the work interesting and she felt useful.  She especially liked working on Sundays because she could relax.  Unfortunately, Karen had plenty of work this Sunday. She was just about to take a break when she watched the police bring in a young boy.  She knew he was hurt so she rushed to help him; she was relieved to find that 1 carefully set the finger and gave him a sedative.  Then she called his parents and told them not to worry.  Karen was happy to see that the boy had fallen asleep.  She went out to the lobby and waited for the parents, knowing she would have a long wait.  The parents had told her that the drive was an hour long. Karen sat back in a chair and hoped no more people would come in while she waited.  She was tired of treating people hurt in otherwise preventable accidents. Karen went back to check on the boy and was glad to see that he was still sleeping.  Then she went to the kitchen to get a cup of coffee.  When she returned, the boy was awake, and asked 2 Karen brought him a game and told him to press the buzzer if he needed anything. Then she went out and started to clean up the emergency room.  She wanted to straighten things up before she went off duty. Just before she left, the boy's parents arrived and Karen told them that everything was fine.  They wanted to know whether 3",2.txt,1.0,The generated answer 'A finger' accurately identifies the core concept 'finger' required by the correct answer. The inclusion of the indefinite article 'A' is acceptable in reading comprehension scoring.,True,finger
study3,A,2,02,2,2,What had the boy asked for?,A game,"Karen had been working in the emergency room since she had become a nurse several years ago.  She loved working in the emergency room because she found the work interesting and she felt useful.  She especially liked working on Sundays because she could relax.  Unfortunately, Karen had plenty of work this Sunday. She was just about to take a break when she watched the police bring in a young boy.  She knew he was hurt so she rushed to help him; she was relieved to find that 1 carefully set the finger and gave him a sedative.  Then she called his parents and told them not to worry.  Karen was happy to see that the boy had fallen asleep.  She went out to the lobby and waited for the parents, knowing she would have a long wait.  The parents had told her that the drive was an hour long. Karen sat back in a chair and hoped no more people would come in while she waited.  She was tired of treating people hurt in otherwise preventable accidents. Karen went back to check on the boy and was glad to see that he was still sleeping.  Then she went to the kitchen to get a cup of coffee.  When she returned, the boy was awake, and asked 2 Karen brought him a game and told him to press the buzzer if he needed anything. Then she went out and started to clean up the emergency room.  She wanted to straighten things up before she went off duty. Just before she left, the boy's parents arrived and Karen told them that everything was fine.  They wanted to know whether 3",2.txt,1.0,The generated answer 'A game' accurately identifies the core concept 'game' required by the correct answer. The inclusion of the indefinite article 'A' is acceptable in reading comprehension scoring.,True,game
