Passage,Version,Question,Answer,Response Time
01,A,12,"In the bar, just off the lobby.",6.442596912384033
01,A,10,Amber Ale,6.486111402511597
01,A,11,She ordered an amber beer.,6.4746458530426025
01,B,12,In the lobby of the Madison Hotel.,6.495021343231201
01,B,10,Amber Ale,6.4711754322052
01,B,11,She checked her watch.,6.450327157974243
01,C,12,The Madison Hotel,6.4483723640441895
01,C,10,Amber ale.,6.450983762741089
01,C,11,She ordered an amber beer.,6.493173599243164
01,D,12,The Madison Hotel,6.439040660858154
01,D,10,Amber Ale,6.438066244125366
01,D,11,She ordered an amber beer.,6.434976816177368
02,B,11,He looked at the top shelf of the bookcase.,6.512923002243042
02,B,13,In the family room.,6.507211446762085
02,B,10,The jolly relative was Joshua's uncle.,6.51274847984314
02,D,11,Joshua looked for the treasure in the yard with the hollow tree.,6.510770320892334
02,D,13,In the neighborhood.,6.522754192352295
02,D,10,The jolly uncle rang the bell to signal the end of the treasure hunt.,6.570582389831543
06,B,10,The plastic chair.,6.435370206832886
06,B,11,He found it under his feet.,6.4279937744140625
06,B,12,He tripped over it.,6.44516921043396
06,C,10,The plastic chair.,6.424772024154663
06,C,11,In his car.,6.426558256149292
06,C,12,He ran to his car.,6.425483703613281
06,D,10,The plastic chair.,6.4373557567596436
06,D,11,In the trunk of his car.,6.438303709030151
06,D,12,He walked past the control tower.,6.434226036071777
08,A,12,Tamika had to wait only a few seconds before she was seated at the restaurant.,6.441977024078369
08,A,11,The restaurant was across the street from the cemetery.,6.412883281707764
08,A,10,Yellow roses.,6.414134502410889
08,B,12,Two hours.,0.342876672744751
08,B,11,The restaurant was across the street from the cemetery.,6.431921005249023
08,B,10,Yellow roses.,0.40744948387145996
08,C,12,10 minutes,6.4419310092926025
08,C,11,10 minutes,6.423588991165161
08,C,10,Yellow roses.,6.425448417663574
08,D,12,30 minutes,6.432025194168091
08,D,11,10 miles,6.437666893005371
08,D,10,Yellow roses.,0.41220760345458984
09,B,10,A hammer.,0.35447239875793457
09,B,11,The house next door.,6.487701654434204
09,B,12,"Yes, the police apprehended the criminal in a timely manner.",6.502588272094727
09,C,10,A crowbar.,0.41414427757263184
09,C,11,The tube slide.,6.442089319229126
