study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3,question_4,correct_answer_1,correct_answer_2
study3,A,01,1.txt,"The Worn VehicleDan had been driving almost all night in order to get home for Thanksgiving.  While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee.  Before going inside, Dan walked around in the fresh air.  While he was stretchingknew what the man was driving. jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roamaround the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man knew what the man had bought.thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as hewas  leaving, the police came in.  Theysaid they wanted to ask about the manwho had just left.  They asked Dan if he3his legs, a van pulled up and a man ","['What was the man driving?', 'What did the man buy?', 'Why was Dan going home?', 'Why did Dan stop at the store?']",A van.,GumDan was relieved that the man was gone and happy he wouldn't have to deal with the police.,He was going home to find out why his roommate had been acting strange.,Dan wanted to be sure the man was a real person.,van,gum
study3,B,01,1.txt,"The Worn VehicleDan had been driving almost all night in order to get home for Thanksgiving.  While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee.  Before going inside, Dan walked around in the fresh air.  While he was stretchingknew what the man was driving. jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roamaround the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man knew what the man had bought.thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as hewas  leaving, the police came in.  Theysaid they wanted to ask about the manwho had just left.  They asked Dan if he3paid for some gum and walked out.  Dan ","['What was the man driving?', 'What did the man buy?', 'Why was Dan going home?', 'Why did Dan stop at the store?']",A silver van.,He bought a bag of gum and a box of cigarettes.,He thought he could help prevent any trouble.,Because he was hungry.,van,gum
study3,C,01,1.txt,"The Odd PurchaseDan had been driving almost all night in order to get home for Thanksgiving.  While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee.  Before going inside, Dan walked around in the fresh air.  While he was stretchingknew what the man was driving. jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roamaround the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man knew what the man had bought.thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as hewas  leaving, the police came in.  Theysaid they wanted to ask about the manwho had just left.  They asked Dan if he3his legs, a van pulled up and a man ","['What was the man driving?', 'What did the man buy?', 'Why was Dan going home?', 'Why did Dan stop at the store?']",A van Dan answered that he was driving a van.,Dan arrived at his home just in time for dinner.,He had just bought a bunch of gum and he wanted to get home.,He thought the man would be helpful.,van,gum
study3,D,01,1.txt,"The Odd PurchaseDan had been driving almost all night in order to get home for Thanksgiving.  While driving, he found he couldn't stay awake so he stopped at a small all-night convenience store for some coffee.  Before going inside, Dan walked around in the fresh air.  While he was stretchingknew what the man was driving. jumped out.  As Dan followed the man into the store, he noticed that the van was old and dented.  The clerk was very friendly and asked Dan where he was headed.  Dan told him he was in college and that he was going home for Thanksgiving.  While Dan was talking and drinking his coffee, the clerk was eyeing the other man.  Dan watched the man roamaround the store and noticed that he didn't pick up anything.  The clerk asked Dan if he would stay until the man left the store.  The clerk told Dan that the man was making him very nervous.  Dan was anxious to get home but he agreed to stay with the clerk.  Dan didn't want to leave him alone.  He thought his presence would help avoid any trouble.  Finally, the man knew what the man had bought.thought it was a little strange to buy only gum but he was relieved that the man finally left.  He finished his coffee and got another cup.  He hoped he could stay awake until he got home.  Just as hewas  leaving, the police came in.  Theysaid they wanted to ask about the manwho had just left.  They asked Dan if he3paid for some gum and walked out.  Dan ","['What was the man driving?', 'What did the man buy?', 'Why was Dan going home?', 'Why did Dan stop at the store?']",A van.,gum,He had just had a fight with a girl he liked.,To buy some coffee.,van,gum
study3,A,02,2.txt,"The Minor InjuryKaren had been working in the emergency room since she had become a nurse several years ago.  She loved working in the emergency room because she found the work interesting and she felt useful.  She especially liked working on Sundays because she could relax.  Unfortunately, Karen had plenty of work this Sunday.  She was just about to take a break when she watched the police bring in a young boy.  She knew he was hurt so she rushed to help him; she was relieved to find thatthe boy had broken anything.carefully set the finger and gave him a sedative.  Then she called his parents and told them not to worry.  Karen was happy to see that the boy had fallen asleep.  She went out to the lobby and waited for the parents, knowing she would have a long wait.  The parents had told her that the drive was an hour long.  Karen sat back in a chair and hoped no more people would come in while she waited.  She was tired of treating people hurt in otherwise preventable accidents.  Karen went back to check on the boy and was glad to see that he was still sleeping.  Then she went to the kitchen to get a cup of coffee.  When she returned, the boy was awake, and asked the boy had asked for anything.Karen brought him a game and told him topress the buzzer if he needed anything.  Then she went out and started to cleanup the emergency room.  She wanted tostraighten things up before she went off duty.Just before she left, the boy's parentsarrived and Karen told them that everythingwas fine.  They wanted to know whether3only a finger was broken.  Karen ","['What had the boy broken?', 'What had the boy asked for?', 'What day did Karen like working?', 'How long did the parents have to drive?']",1finger,A game and a cup of coffee,Friday,Two hours.,finger,game
study3,B,02,2.txt,"The Minor InjuryKaren had been working in the emergency room since she had become a nurse several years ago.  She loved working in the emergency room because she found the work interesting and she felt useful.  She especially liked working on Sundays because she could relax.  Unfortunately, Karen had plenty of work this Sunday.  She was just about to take a break when she watched the police bring in a young boy.  She knew he was hurt so she rushed to help him; she was relieved to find thatthe boy had broken anything.carefully set the finger and gave him a sedative.  Then she called his parents and told them not to worry.  Karen was happy to see that the boy had fallen asleep.  She went out to the lobby and waited for the parents, knowing she would have a long wait.  The parents had told her that the drive was an hour long.  Karen sat back in a chair and hoped no more people would come in while she waited.  She was tired of treating people hurt in otherwise preventable accidents.  Karen went back to check on the boy and was glad to see that he was still sleeping.  Then she went to the kitchen to get a cup of coffee.  When she returned, the boy was awake, and asked the boy had asked for anything.Karen brought him a game and told him topress the buzzer if he needed anything.  Then she went out and started to cleanup the emergency room.  She wanted tostraighten things up before she went off duty.Just before she left, the boy's parentsarrived and Karen told them that everythingwas fine.  They wanted to know whether3her for a game to play while he waited.  ","['What had the boy broken?', 'What had the boy asked for?', 'What day did Karen like working?', 'How long did the parents have to drive?']",The finger.,A game to play while he waited.,Monday (9/20/10),About 15 minutes.,finger,game
study3,C,02,2.txt,"The Patient's RequestKaren had been working in the emergency room since she had become a nurse several years ago.  She loved working in the emergency room because she found the work interesting and she felt useful.  She especially liked working on Sundays because she could relax.  Unfortunately, Karen had plenty of work this Sunday.  She was just about to take a break when she watched the police bring in a young boy.  She knew he was hurt so she rushed to help him; she was relieved to find thatthe boy had broken anything.carefully set the finger and gave him a sedative.  Then she called his parents and told them not to worry.  Karen was happy to see that the boy had fallen asleep.  She went out to the lobby and waited for the parents, knowing she would have a long wait.  The parents had told her that the drive was an hour long.  Karen sat back in a chair and hoped no more people would come in while she waited.  She was tired of treating people hurt in otherwise preventable accidents.  Karen went back to check on the boy and was glad to see that he was still sleeping.  Then she went to the kitchen to get a cup of coffee.  When she returned, the boy was awake, and asked the boy had asked for anything.Karen brought him a game and told him topress the buzzer if he needed anything.  Then she went out and started to cleanup the emergency room.  She wanted tostraighten things up before she went off duty.Just before she left, the boy's parentsarrived and Karen told them that everythingwas fine.  They wanted to know whether3only a finger was broken.  Karen ","['What had the boy broken?', 'What had the boy asked for?', 'What day did Karen like working?', 'How long did the parents have to drive?']",It appeared to be a finger.,He asked for a game.,Saturday,The parents had to drive for approximately an hour and a half.,finger,game
study3,D,02,2.txt,"The Patient's RequestKaren had been working in the emergency room since she had become a nurse several years ago.  She loved working in the emergency room because she found the work interesting and she felt useful.  She especially liked working on Sundays because she could relax.  Unfortunately, Karen had plenty of work this Sunday.  She was just about to take a break when she watched the police bring in a young boy.  She knew he was hurt so she rushed to help him; she was relieved to find thatthe boy had broken anything.carefully set the finger and gave him a sedative.  Then she called his parents and told them not to worry.  Karen was happy to see that the boy had fallen asleep.  She went out to the lobby and waited for the parents, knowing she would have a long wait.  The parents had told her that the drive was an hour long.  Karen sat back in a chair and hoped no more people would come in while she waited.  She was tired of treating people hurt in otherwise preventable accidents.  Karen went back to check on the boy and was glad to see that he was still sleeping.  Then she went to the kitchen to get a cup of coffee.  When she returned, the boy was awake, and asked the boy had asked for anything.Karen brought him a game and told him topress the buzzer if he needed anything.  Then she went out and started to cleanup the emergency room.  She wanted tostraighten things up before she went off duty.Just before she left, the boy's parentsarrived and Karen told them that everythingwas fine.  They wanted to know whether3her for a game to play while he waited.  ","['What had the boy broken?', 'What had the boy asked for?', 'What day did Karen like working?', 'How long did the parents have to drive?']",His finger.,A game to play while he waited.,Sunday,About an hour and a half.,finger,game
study3,A,03,3.txt,"The Unusual TipNora had been living in New York for two years while she waited for her big break as an actress.  During the day she attended acting classes and auditions, and at night she was a waitress in a small restaurant just off Broadway.  One night several cast members from the show in the theater down the street came in for dinner.  Nora recognized one of the women as the lead actress.  She worked up enough courage and went over to her.  Nora told her that she too was an actress and that she was a great admirer of hers.  The woman thanked Nora and promptly gave what the famous actress had given her.the ticket into her pocket and went off to fill their orders.  Nora noticed that the restaurant filled up with customers quickly and before long, she had a line of people waiting for tables.  Nora was already tired from being in class all day but she still enjoyed her job.  Not only did it provide her with a little money, but it also gave her a chance to meet some famous people.  Nora realized that getting acting jobs was difficult without making connections, so she needed to meet all the famous people that she could.  Eventually, Nora saw that the restaurant was beginning to quiet down and she started cleaning some of the tables.She started stacking plates on a cartto carry to the kitchen.  While shewhat she had found under the plates.stuck under some plates.  She placedthe wallet in the lost-and-found boxand returned to her work. After therestaurant closed, Nora sat and had a cupof coffee.  She was tired and glad shecould finally sit.  Nora had been workingfor eight hours and she needed a break.Another waitress joined Nora and asked her3her a ticket to her show.  Nora slipped ","['What did the famous actress give Nora?', 'What did Nora find under the plates?', 'How long had Nora been working that night?', 'Where did Nora live?']",The ticket to her very first show.,The ticket to her show! ,She had just started working and she didn't have her card yet.,New York.,ticket,wallet
study3,B,03,3.txt,"The Unusual TipNora had been living in New York for two years while she waited for her big break as an actress.  During the day she attended acting classes and auditions, and at night she was a waitress in a small restaurant just off Broadway.  One night several cast members from the show in the theater down the street came in for dinner.  Nora recognized one of the women as the lead actress.  She worked up enough courage and went over to her.  Nora told her that she too was an actress and that she was a great admirer of hers.  The woman thanked Nora and promptly gave what the famous actress had given her.the ticket into her pocket and went off to fill their orders.  Nora noticed that the restaurant filled up with customers quickly and before long, she had a line of people waiting for tables.  Nora was already tired from being in class all day but she still enjoyed her job.  Not only did it provide her with a little money, but it also gave her a chance to meet some famous people.  Nora realized that getting acting jobs was difficult without making connections, so she needed to meet all the famous people that she could.  Eventually, Nora saw that the restaurant was beginning to quiet down and she started cleaning some of the tables.She started stacking plates on a cartto carry to the kitchen.  While shewhat she had found under the plates.stuck under some plates.  She placedthe wallet in the lost-and-found boxand returned to her work. After therestaurant closed, Nora sat and had a cupof coffee.  She was tired and glad shecould finally sit.  Nora had been workingfor eight hours and she needed a break.Another waitress joined Nora and asked her3was cleaning tables, Nora found a wallet ","['What did the famous actress give Nora?', 'What did Nora find under the plates?', 'How long had Nora been working that night?', 'Where did Nora live?']",A ticket to the show.,a wallet,"After she finished cleaning tables, she went back to work.","New York City, NJ",ticket,wallet
