,0
0,Beer
1,Sophia sorted through the documents she had dumped on the table from her briefcase.
2,Sophia was supposed to meet the client in the lobby of the Madison Hotel.
3,Beer
4,Sophia signaled for the check and waited fifteen minutes for the waitress to total her tab.
5,The lobby of the Madison Hotel.
6,Beer
7,Sophia took a deep breath and straightened her suit before she left the bar.
8,The Madison Hotel
9,Beer
10,Sophia reviewed her papers for the next hour before she left the bar.
11,The Madison Hotel
12,The jolly uncle.
13,Joshua looked for the treasure first in the family room.
14,The treasure hunt took place in a house and a park next door.
15,The jolly uncle.
16,Joshua looked for the treasure first in the family room.
17,The treasure hunt took place in a house and a park next door.
18,The jolly uncle.
19,Joshua looked for the treasure first in the yard with the hollow tree.
20,The treasure hunt took place in a neighborhood and ended at a park next door.
21,The jolly uncle.
22,Joshua looked for the treasure first in the yard with the hollow tree.
23,The treasure hunt took place in a neighborhood and ended at a park.
24,The gleaming knife.
25,"No, the chef should not have been so frustrated."
26,The chef was in the kitchen when he realized that he had forgotten his spice kit.
27,The gleaming knife.
28,"No, the chef should not have been so frustrated."
29,The chef was in the kitchen when he realized that he had forgotten his spice kit.
30,The chef would use the gleaming knife to complete his preparations.
31,"No, the chef should not have been so frustrated."
32,The chef was in the rented hall when he realized that he had forgotten his spice kit.
33,The gleaming knife.
34,"No, the chef should not have been so frustrated."
35,The chef was in the kitchen when he realized that he had forgotten his spice kit.
36,The fierce animal that Jared's girls wanted to see was a lion.
37,It took a few minutes for Jared and his girls to travel from the zoo's entrance to the exhibit.
38,The exhibit was only a few yards away from the zoo's entrance.
39,The fierce animal that Jared's girls wanted to see was a lion.
40,It took Jared and his girls an hour to travel from the zoo's entrance to the exhibit.
41,The exhibit was located a few yards away from the zoo's entrance.
42,The fierce lion.
43,The passage does not provide a specific time for how long it took for Jared and his girls to travel from the zoo's entrance to the exhibit.
44,The exhibit was located in the distance from the zoo's entrance.
45,The fierce lion.
46,The passage does not provide information about the time it took for Jared and his girls to travel from the zoo's entrance to the exhibit.
47,The exhibit was located far from the zoo's entrance.
48,The mechanic kicked the plastic chair.
49,The mechanic found his toolbox in the hangar.
50,The mechanic first looked around the hangar.
51,The mechanic kicked the plastic chair.
52,The mechanic found his toolbox in the hangar.
53,The mechanic bent down to rummage through his toolbox.
54,The mechanic kicked the plastic chair.
55,The mechanic found his toolbox in his car.
56,He ran past the control tower.
57,The mechanic kicked the plastic chair.
58,The mechanic found his toolbox in the trunk of his car.
59,The mechanic opened the trunk of his car.
60,Jason saw himself doing a career as a motivating teacher in the future.
61,It took Jason seconds to locate his resumes.
62,Jason first looked in his bag.
63,Jason saw himself doing a career as a teacher in the future.
64,It took Jason a half hour to locate his resumes.
65,The first place that Jason looked for his resumes was in his bag.
66,Jason saw himself doing a career as a motivating teacher in the future.
67,It took Jason approximately 10 minutes to locate his resumes.
68,Jason first looked for his resumes in his bag.
69,Jason saw himself doing a career as a motivating teacher in the future.
70,It took Jason 30 minutes to locate his resumes.
71,Jason first looked for his resumes in his bag.
72,Tamika put yellow roses on her mother's grave.
73,The restaurant was across the street from the cemetery.
74,Tamika did not have to wait to be seated at the restaurant.
75,Tamika put yellow roses on her mother's grave.
76,The restaurant was across the street from the cemetery.
77,Tamika had to wait for a half hour before a table was free.
78,Tamika put yellow roses on her mother's grave.
79,"The restaurant was in the neighboring town, which was ten minutes away from Tamika's hometown."
80,Tamika did not have to wait to be seated at the restaurant.
81,Tamika put yellow roses on her mother's grave.
82,"The restaurant was in a neighboring town, but the exact distance is not specified."
