GPT2,RoBERTa,Mistral-7B,pythia-12b-deduped,LLaMa-3.1-8B,Mistral-24B
1.546788556,30.13432653,1.385768345,1.579604214,1.171857368,1.007332938
1.555064108,29.77816377,1.316920689,1.602305726,1.167755803,1.085876465
1.688132959,27.74797167,1.444675991,1.768857742,1.327414839,1.398777553
1.827843896,27.72054291,1.433323451,1.834537677,1.341110044,1.436392648
2.4235058,30.16418907,1.790666853,2.302648757,1.965496932,1.858154297
2.36717775,30.11179801,1.776402065,2.285752126,2.077772128,1.840994699
2.767784168,30.82467763,2.43947347,2.418656841,2.668422401,2.61311849
2.755117774,30.80338446,2.382568359,2.512712409,2.704674318,2.746866862
2.088002788,29.27088404,1.868225098,1.561642147,1.16848974,1.464561462
2.078101646,29.50863183,1.841522217,1.596302337,1.190577187,1.366477966
2.855764826,28.67654133,2.319381714,2.177264408,2.005540109,1.725013733
2.822682274,28.64380145,2.427780151,2.057409978,2.056927736,1.818778992
2.173201549,31.4035759,2.200439453,2.002823514,1.804107165,1.668652344
2.173094726,30.81768169,2.240429688,2.023475105,1.768362558,1.651904297
3.214360893,30.29458866,2.645703125,2.824483317,2.042630899,1.995068359
3.412865257,30.53666935,3.046728516,3.034799677,2.301799583,2.234472656
2.969196659,32.8616972,2.357531738,2.792020674,2.436444619,2.101269531
2.962476203,32.81603374,2.281518555,2.827452712,2.333994753,2.102624512
1.760220978,34.4817894,1.442456055,1.787911563,1.36510194,1.059313965
1.756579,34.12262421,1.469836426,1.877944393,1.423052456,1.148730469
2.914023411,27.53351375,1.496235847,1.920532446,1.587634437,1.815207345
2.96650935,27.70651831,1.558492661,2.068630496,1.653177409,1.836029053
2.780978377,28.77842127,1.67540632,1.970222565,1.565573504,1.87562779
2.754506339,28.24314008,1.703438895,1.920280148,1.838321326,2.239746094
5.110209618,32.31541852,4.272940499,4.441254514,4.326265744,3.339050293
5.158088812,32.24988338,4.334315709,4.493181767,4.655145705,3.482836042
4.371529021,29.68466609,3.316429257,3.382194476,2.923152675,2.251072168
4.454138743,29.7141443,3.202545285,3.351300233,3.164920846,2.834556818
3.984234543,26.02399349,2.549953052,2.943093137,3.085766734,2.789149125
3.929271284,25.88472252,2.468117986,3.091044454,3.270629776,2.800811927
2.047637141,31.47655125,0.886621094,1.693692896,0.682127655,0.80324707
2.109598777,31.63693542,0.957495117,1.722632134,0.799493527,0.800109863
2.237935377,28.7241933,1.671351842,1.878708269,2.199354508,2.266671317
2.214361463,28.77817236,1.752040318,1.907721835,2.244187078,2.153878348
2.754788139,29.50351633,2.50453404,2.371608436,2.48242311,2.267299107
2.810679861,29.42003591,2.502022879,2.428381051,2.496022999,2.221330915
1.506129473,30.48584874,1.404754639,1.213736537,1.256863759,1.059407552
1.528804605,30.29978943,1.443003337,1.23221082,1.230704783,1.138895671
2.094448949,30.62473361,1.705047607,2.109397426,1.670867839,1.436421712
2.052183996,30.51911322,1.664276123,2.020908378,1.697229094,1.440999349
1.618235439,29.1019377,1.401977539,1.841867396,1.346208538,1.074358259
1.642914023,28.80403233,1.394513811,1.892792101,1.321280441,1.168927874
2.275439226,28.401016,2.142562866,2.227733498,1.933402338,1.730834961
2.299057847,28.24406159,2.360610962,2.325728392,2.004606379,1.812454224
2.374793153,28.44378376,2.453536987,2.181372953,1.932060579,1.959609985
2.384289734,28.08307481,2.500457764,2.301447807,2.073403728,1.96736908
2.322745938,27.02450572,1.282663981,1.639458881,1.188817202,1.594701131
2.401660047,26.96873389,1.270331489,1.748194166,1.28510848,1.572357178
2.838767129,37.13210583,1.67443943,2.650103042,2.130205503,1.941480637
2.944721195,37.18816614,1.700053851,2.60305266,2.223137474,1.95573171
2.017556199,40.24858952,1.068472226,1.510512588,1.347227272,1.403729757
1.974964631,40.15370162,1.088995298,1.584512148,1.348454936,1.453748703
2.745871198,33.5359581,2.614892578,2.750833738,2.761576259,1.71171875
2.729405141,33.5492487,2.662255859,2.739007992,2.782793009,1.644238281
3.456130356,30.99159698,3.900891113,4.049989894,3.824230471,3.464550781
3.383983356,31.32368088,3.788525391,4.047164172,3.84536484,3.485180664
1.706951108,28.07253706,1.430766424,0.90813202,0.973581831,0.907207489
1.696542872,27.96020722,1.47089386,0.920332317,0.98467801,0.868160248
3.213151304,27.56902586,2.77607945,2.427676787,2.580790655,2.151436942
3.215216933,27.8199328,2.85698591,2.490713631,2.601681686,2.244376046
2.523817942,31.12881041,2.050455729,2.250691652,2.172950824,1.883483887
2.547615603,31.07886918,2.057006836,2.30134206,2.238907218,1.875712077
2.303320706,30.64211696,1.894993373,2.076488868,2.254149475,1.894984654
2.322471946,29.96155276,1.909131731,2.08932858,2.239608277,1.897094727
