Passage,A,B,C,D
1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
2,0.0,0.0,0.0,0.0
3,0.6666666666666666,0.6666666666666666,1.0,1.0
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
14,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
16,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
17,1.0,1.0,0.6666666666666666,1.0
18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
19,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
