,0
0,A beer.
1,She ordered an amber beer.
2,In the lobby of the Madison Hotel.
3,A beer.
4,She ordered an amber beer.
5,The Madison Hotel
6,A beer.
7,She took a deep breath.
8,In the lobby of the Madison Hotel.
9,A beer.
10,She reviewed her papers.
11,The client was waiting for her in the lobby of the Madison Hotel.
12,The jolly uncle.
13,The attic.
14,The family room of a house.
15,The jolly uncle.
16,The bookcase.
17,The family lived in a large house.
18,The jolly uncle.
19,In the hollow tree.
20,The family lived in a neighborhood in the city.
21,The jolly uncle.
22,The hollow tree.
23,The park where Joshua found the trophy.
24,The chef would use the knife to cut the vegetables for the salad.
25,No.
26,In the kitchen.
27,The chef would use the knife to cut the vegetables for the salad.
28,No.
29,In the kitchen.
30,The chef would use the knife.
31,No.
32,In the kitchen.
33,The chef would use the knife.
34,No.
35,He was in the kitchen.
36,The lion.
37,The zoo was only a few miles away.
38,The exhibit was located in the middle of the zoo.
39,The lion.
40,It took about an hour.
41,The exhibit was located in the middle of the zoo.
42,The lion.
43,The trip took ten minutes.
44,The exhibit was located in the middle of the zoo.
45,The lion.
46,It took them an hour to travel ten miles.
47,The exhibit was located in the far corner of the zoo.
48,The plastic chair.
49,In his car.
50,He looked around the hangar.
51,The plastic chair.
52,In his toolbox.
53,He looked around the hangar.
54,The plastic chair.
55,In the parking lot.
56,He ran.
57,The plastic chair.
58,In the trunk of his car.
59,He opened the trunk.
60,Jason saw himself as a motivating teacher.
61,Jason located his resumes in less than a minute.
62,The first place he looked for his resumes was in his bag.
63,Jason saw himself as a motivating teacher.
64,Jason spent about 30 minutes looking for his resumes.
65,The Career Fair
66,Jason saw himself as a motivating teacher.
67,Jason located his resumes in less than five minutes.
68,The school gymnasium.
69,A motivating teacher.
70,Jason spent an hour looking for his resumes.
71,The school gymnasium.
72,Yellow roses.
73,The restaurant was across the street from the cemetery.
74,She had to wait only a few minutes.
75,Yellow roses.
76,The restaurant was across the street from the cemetery.
77,She waited for a half hour.
78,Yellow roses.
79,The restaurant was ten minutes away.
80,She had to wait for a few minutes before she was seated.
81,Yellow roses.
82,The restaurant was about two hours away.
83,She had to wait for a half hour before she was seated.
84,A hammer
85,The criminal hid in the house next door.
86,"Yes, the police apprehended the criminal in a timely manner."
87,A hammer
88,The criminal's new hiding place was the house next door.
89,"Yes, the police apprehended the criminal in a timely manner."
90,A hammer
91,The criminal hid in a tube slide.
92,No.
93,A hammer
94,The criminal's new hiding place was the basement of a house.
95,No.
96,Leukemia
97,The gift store was located on the 7th floor of the hospital.
98,He bought a teddy bear for his daughter.
99,Leukemia
100,The gift store was located on the 7th floor of the hospital.
101,He went to the gift store to buy a new teddy bear.
102,Leukemia
103,The gift store was located in the lobby of the hospital.
104,He bought her a new teddy bear.
105,Leukemia
106,The gift store was located in the 7th floor of the hospital.
107,He went to the gift store to buy a new teddy bear.
108,The piano.
109,In her home.
110,Three.
111,The piano.
112,The music instructor gave her lessons in her home.
113,Three.
114,The piano.
115,In her home.
116,Three.
117,The piano.
118,In her home.
119,Three.
120,The sailboat was a classic wooden vessel.
121,The restaurant was located on the waterfront in the city of San Francisco.
122,They waited about ten minutes before they were seated.
123,A sailboat
124,The restaurant was located in the heart of the city.
125,They waited an hour.
126,A sailboat
127,The restaurant was located in a small town in the middle of the desert.
128,They waited about ten minutes before they were seated.
129,A sailboat
130,The restaurant was located in a small town in the middle of the state.
131,They waited about thirty minutes before they were seated.
132,The dining room table.
133,In the storage locker.
134,Twenty-five minutes.
135,The dining room table.
136,In the storage locker.
137,About an hour.
138,The dining room table.
139,The post office.
140,Joseph's search took him about twenty minutes.
141,The dining room table.
142,The post office.
143,Three hours.
144,A dog.
145,She drove.
146,About five minutes.
147,A dog.
148,Jenna walked to the clinic.
149,About an hour.
150,A dog.
151,Jenna drove to the veterinary clinic.
152,Jenna drove to the veterinary clinic in ten minutes.
153,A dog.
154,Jenna walked.
155,About an hour and a half.
156,Apple
157,Yes.
158,Jessie was standing at the entrance to the judge's tent.
159,Apple
160,Yes
161,Jessie was about twenty steps away from the judge's tent.
162,Apple
163,No.
164,Jessie was about a mile away from the judge's tent.
165,Apple
166,No.
167,Jessie was at the start of the story at the other side of the fair.
168,The book was The Glass Castle by Jeannette Walls.
169,Keisha had to walk to work.
170,"Yes, she did."
171,The book was The Secret Garden.
172,She had to wait for the bus for almost two hours.
173,No.
174,The book she was reading was The Secret Garden.
175,She had to wait for the bus.
176,No.
177,The book was The Glass Castle.
178,She had to wait for the bus for an hour and a half.
179,No.
180,The gun.
181,In his car.
182,Ryan searched for his kit for a few minutes.
183,The gun.
184,In his car.
185,He searched for his kit for fifteen minutes.
186,The gun.
187,In his car.
188,He searched for his kit for about five minutes.
189,The gun.
190,He found his kit in the trunk of his car.
191,He searched for his kit for about an hour.
192,A pair of trendy pants.
193,Sarah had thirty minutes to shop.
194,The boutique
195,A pair of trendy pants.
196,Sarah had two hours to shop for her sister's present.
197,The mall
198,A pair of pants.
199,Sarah had only thirty minutes to shop.
200,The mall.
201,A pair of pants.
202,Sarah had two hours to shop.
203,The mall.
204,Diamonds.
205,She traveled about a block.
206,Yes.
207,Diamonds.
208,The woman ended up traveling about a half mile before she remembered the cell phone.
209,Yes.
210,Diamonds.
211,The woman ran a mile before she remembered her cell phone.
212,Yes.
213,Diamonds.
214,The woman ended up traveling about a mile before she remembered the cell phone.
215,Yes.
216,The warrior wiped his soiled fingers on his wool shirt.
217,In the kitchen.
218,The warrior had a few minutes to himself before the battle began.
219,His pants.
220,In the water.
221,The warrior had a few hours to himself before the battle began.
222,His pants.
223,The warrior ate his lunch in the village.
224,The warrior had a few minutes to himself before the battle began.
225,His wool shirt.
226,The warrior ate his lunch beside a peaceful brook.
