,0
0,A beer.
1,She reviewed her papers.
2,The Madison Hotel.
3,A beer.
4,She reviewed her papers.
5,The Madison Hotel.
6,A scotch.
7,She reviewed her papers.
8,The Madison Hotel.
9,A scotch.
10,She reviewed her papers.
11,The Madison Hotel.
12,The jolly uncle.
13,In the hollow tree.
14,The park.
15,The jolly uncle.
16,In the hollow tree.
17,The park.
18,The jolly nephew.
19,In the hollow tree.
20,The park.
21,The jolly nephew.
22,In the hollow tree.
23,The park.
24,The chef would use the metal knife to prepare the vegetables for the salad.
25,No.
26,In the kitchen.
27,The chef would use the metal knife to prepare the vegetables for the salad.
28,No.
29,In the kitchen.
30,The chef would use the tongs.
31,No.
32,In the kitchen.
33,The chef would use the tongs.
34,No.
35,In the kitchen.
36,A lion.
37,It took an hour to get to the zoo.
38,The exhibit was located about a mile from the entrance.
39,A lion.
40,It took an hour to get to the zoo.
41,The exhibit was located about a mile from the entrance.
42,A cheetah.
43,It took an hour to get to the zoo.
44,The exhibit was located about a mile from the entrance.
45,A cheetah.
46,It took an hour to get to the zoo.
47,The exhibit was located about a mile from the entrance.
48,The metal chair.
49,In the trunk of his car.
50,He opened the trunk.
51,The metal chair.
52,In the trunk of his car.
53,He opened the trunk.
54,The metal stool.
55,In the trunk of his car.
56,He opened the trunk.
57,The metal stool.
58,In the trunk of his car.
59,He looked for it.
60,A wealthy lawyer.
61,Jason spent an hour looking for his resumes.
62,In his bag.
63,A wealthy lawyer.
64,Jason spent an hour looking for his resumes.
65,In his bag.
66,A wealthy banker.
67,Jason spent an hour looking for his resumes.
68,In his bag.
69,A wealthy banker.
70,Jason spent an hour looking for his resumes.
71,In his bag.
72,White roses.
73,The restaurant was about a half hour's drive from the cemetery.
74,She waited for a half hour.
75,Lilies.
76,The restaurant was about a half hour's drive from the cemetery.
77,She waited for a half hour.
78,Orchids.
79,The restaurant was about a half hour's drive from the cemetery.
80,She waited for a half hour.
81,Orchids.
82,The restaurant was about a half hour's drive from the cemetery.
83,She waited for a half hour.
84,A hammer
85,The tube slide.
86,No.
87,A hammer
88,The tube slide.
89,No.
90,A chisel.
91,The criminal was hiding in a tube slide.
92,No.
93,A chisel.
94,The criminal was hiding in a tube slide.
95,No.
96,Cancer
97,The gift store was located in the lobby of the hospital.
98,He went to the gift store to buy her a new teddy bear.
99,Cancer
100,The gift store was located in the lobby of the hospital.
101,He went to the gift store to buy her a new teddy bear.
102,Smallpox
103,The gift store was located in the 7th floor of the hospital.
104,He went to the gift store to buy a teddy bear.
105,Smallpox
106,The gift store was located in the 7th floor of the hospital.
107,He went to the gift store to buy a teddy bear.
108,The music instructor loved playing the piano.
109,In her home.
110,Three.
111,The shabby piano
112,In her home.
113,Three.
114,The viola.
115,In her car.
116,Three.
117,The viola.
118,In her car.
119,Three.
120,A sailboat
121,The restaurant was located in a small town in the middle of the state.
122,They waited about thirty minutes before they were seated.
123,A sailboat
124,The restaurant was located in a small town in the middle of the state.
125,They waited about thirty minutes before they were seated.
126,A schooner
127,The restaurant was located in a small town on the coast of Maine.
128,They waited about thirty minutes before they were seated.
129,A schooner
130,The restaurant was located in a small town on the coast of Maine.
131,They waited about thirty minutes before they were seated.
132,The dining room table.
133,The post office.
134,Three hours.
135,The dining room table.
136,The post office.
137,Three hours.
138,The futon.
139,The post office.
140,Three hours.
141,The futon.
142,The post office.
143,Three hours.
144,A dog.
145,Jenna walked.
146,About an hour and a half.
147,A dog.
148,Jenna walked.
149,About an hour and a half.
150,A hamster.
151,Jenna walked.
152,About an hour and a half.
153,A hamster.
154,Jenna walked.
155,About an hour and a half.
156,Apples
157,No.
158,Jessie was about two miles away from the judge's tent.
159,Apples
160,No.
161,Jessie was about two miles away from the judge's tent.
162,Mangos
163,No.
164,Jessie was about two miles away from the judge's tent.
165,Mangos
166,No.
167,Jessie was about two miles away from the judge's tent.
168,A magazine.
169,She had to wait for the bus for an hour and a half.
170,No.
171,A magazine.
172,She had to wait for the bus for an hour and a half.
173,No.
174,A pamphlet.
175,She had to wait for the bus for an hour and a half.
176,No.
177,A pamphlet.
178,She had to wait for the bus for an hour and a half.
179,No.
180,A knife.
181,He found his kit in the trunk of his car.
182,He searched for his kit for about an hour.
183,The bloody knife.
184,He found his kit in the trunk of his car.
185,He searched for his kit for about an hour.
186,A gun.
187,He found his kit in the trunk of his car.
188,He searched for his kit for about an hour.
189,The bloody club.
190,He found his kit in the trunk of his car.
191,He searched for his kit for about an hour.
192,A shirt.
193,Sarah had two hours to shop.
194,The mall.
195,A shirt.
196,Sarah had two hours to shop.
197,The mall.
198,A skirt.
199,Sarah had two hours to shop.
200,The mall.
201,A paisley skirt.
202,Sarah had two hours to shop.
203,The mall.
204,Diamonds.
205,She ended up in a hospital.
206,No.
207,Diamonds.
208,She ended up in a hospital.
209,No.
210,Opals.
211,She ended up in a hospital.
212,No.
213,Opals.
214,She ended up in a hospital.
215,No.
216,His shirt.
217,The warrior ate his lunch beside a peaceful brook.
218,The warrior had to wait for the sun to rise.
219,His shirt.
220,The warrior ate his lunch beside a peaceful brook.
221,The warrior had to wait for the sun to rise.
222,His cotton scarf.
223,The warrior ate his lunch beside a peaceful brook.
224,The warrior had to wait for the sun to rise.
225,His scarf.
226,The warrior ate his lunch beside a peaceful brook.
227,The warrior had to wait for the sun to rise.
