Passage,Answer_Index,Answer
1,1,A van
1,2,Gum
1,3,For Thanksgiving
1,4,For coffee
2,1,A van
2,2,Gum
2,3,For Thanksgiving
2,4,For coffee
3,1,A van
3,2,Gum
3,3,For Thanksgiving
3,4,For coffee
4,1,A van
4,2,Gum
4,3,For Thanksgiving
4,4,For coffee
5,1,A finger
5,2,A game
5,3,Sunday
5,4,An hour
6,1,Finger
6,2,A game
6,3,Sunday
6,4,An hour
7,1,A finger
7,2,A game
7,3,Sunday
7,4,An hour
8,1,Finger
8,2,A game
8,3,Sunday
8,4,An hour
9,1,A ticket to her show
9,2,A wallet
9,3,Eight hours
9,4,New York
10,1,A ticket to her show
10,2,A wallet
10,3,Eight hours
10,4,New York
11,1,A ticket to her show
11,2,A wallet
11,3,Eight hours
11,4,New York
12,1,A ticket to her show
12,2,A wallet
12,3,Eight hours
12,4,New York
13,1,A vase
13,2,A watch
13,3,Because she was losing customers
13,4,Five o'clock
14,1,A vase
14,2,A watch
14,3,Because she was losing customers
14,4,Five o'clock
15,1,A vase
15,2,A watch
15,3,Because she was losing customers
15,4,Five o'clock
16,1,A vase
16,2,A watch
16,3,Because she was losing customers
16,4,Five o'clock
17,1,A briefcase
17,2,A porter
17,3,The airport
17,4,Yes
18,1,A briefcase
18,2,A porter
18,3,The airport
18,4,Yes
19,1,A briefcase
19,2,A porter
19,3,The airport
19,4,Yes
20,1,A briefcase
20,2,The porter
20,3,The airport
20,4,Yes
21,1,Microwave
21,2,Perfume
21,3,Apartment
21,4,Father's
22,1,Microwave
22,2,Perfume
22,3,Apartment
22,4,Her father's
23,1,Microwave
23,2,Perfume
23,3,Apartment
23,4,Father's
24,1,Microwave
24,2,Perfume
24,3,Apartment
24,4,Father's
25,1,Major
25,2,Banker
25,3,An embassy official
25,4,Correspondent
26,1,Major
26,2,Banker
26,3,An embassy official
26,4,Correspondent
27,1,Major
27,2,Banker
27,3,An embassy official
27,4,Correspondent
28,1,Major
28,2,Banker
28,3,An embassy official
28,4,Correspondent
29,1,A doll
29,2,A pie
29,3,Because she was tired of the crowds and wanted to surprise her husband with the puppy
29,4,At her friend's apartment
30,1,A doll
30,2,A pie
30,3,Because she was overwhelmed by the crowd and wanted to postpone the rest of her shopping until the next day.
30,4,At her girlfriend's apartment
31,1,A doll
31,2,A pie
31,3,Because she wanted to surprise her husband with a puppy
31,4,At her girlfriend's apartment
32,1,A doll
32,2,A pie
32,3,Because she wanted to surprise her husband with a puppy
32,4,At her girlfriend's apartment
33,1,brakes
33,2,apple
33,3,fall
33,4,a friend
34,1,brakes
34,2,apple
34,3,fall
34,4,a friend
35,1,brakes
35,2,apple
35,3,fall
35,4,a friend
36,1,brakes
36,2,apple
36,3,fall
36,4,a friend
37,1,A policeman
37,2,A banana
37,3,All night
37,4,Because he was afraid he would hit something
38,1,A policeman
38,2,A banana
38,3,All night
38,4,Because he was afraid he would hit something
39,1,A policeman
39,2,A banana
39,3,All night
39,4,Because he was afraid he would hit something
40,1,A policeman
40,2,A banana
40,3,All night
40,4,Because he was afraid he would hit something
41,1,Beer
41,2,Baseball
41,3,Boston
41,4,Ten years
42,1,Beer
42,2,Baseball
42,3,Boston
42,4,Ten years
43,1,Beer
43,2,Baseball
43,3,Boston
43,4,Ten years
44,1,Beer
44,2,Baseball
44,3,Boston
44,4,Ten years
45,1,He rode the train.
45,2,Corn.
45,3,In the country.
45,4,He could call the summers his own.
46,1,He rode the train.
46,2,Corn.
46,3,In the country.
46,4,He could call the summers his own.
47,1,He rode the train.
47,2,Corn.
47,3,In the country.
47,4,He could call the summers his own.
48,1,He rode the train.
48,2,Corn.
48,3,In the country.
48,4,He could call the summers his own.
49,1,A large book
49,2,A radio
49,3,Diane's arm
49,4,Cuba
50,1,A large book
50,2,A radio
50,3,Diane's arm
50,4,Cuba
51,1,A large book
51,2,A radio
51,3,Diane's arm
51,4,Cuba
52,1,A large book
52,2,A radio
52,3,Diane's arm
52,4,Cuba
53,1,The ladder
53,2,The basement
53,3,Tom
53,4,A sandwich
54,1,The ladder
54,2,The basement
54,3,Tom
54,4,A sandwich
55,1,A ladder
55,2,The basement
55,3,Tom
55,4,A sandwich
56,1,The ladder
56,2,The basement
56,3,Tom
56,4,A sandwich
57,1,A boat.
57,2,An old glove.
57,3,Down by the lake.
57,4,Pancakes.
58,1,A boat
58,2,An old glove
58,3,Down by the lake
58,4,Pancakes
59,1,A boat.
59,2,An old glove.
59,3,Down by the lake.
59,4,Pancakes.
60,1,A boat
60,2,An old glove
60,3,Down by the lake
60,4,Pancakes
61,1,A knife
61,2,The woman's money
61,3,Because the defense attorney would be trying to discredit his testimony
61,4,To show his boss that he had deserved his recent promotion
62,1,A knife
62,2,Money
62,3,Because the defense attorney would be trying to discredit his testimony
62,4,To show his boss that he had deserved his recent promotion
63,1,A knife
63,2,Money
63,3,Because the defense attorney would be trying to discredit his testimony
63,4,To show his boss that he had deserved his recent promotion
64,1,A knife
64,2,Money
64,3,Because the defense attorney would be trying to discredit his testimony
64,4,To show his boss that he had deserved his recent promotion
