,0
0,The amber beer.
1,Sophia sorted through the documents from her briefcase.
2,The lobby of the Madison Hotel.
3,The beer.
4,"Sophia spent the next half hour recalling how their last interaction had gone, made room on the table for some papers, dumped the contents of her briefcase in front of her, and spent over an hour sorting through the documents and rehearsing her presentation."
5,The lobby of the Madison Hotel.
6,The amber beer.
7,Sophia ordered an amber beer and took a seat at an empty high-top table.
8,The Madison Hotel.
9,The amber beer.
10,Sophia reviewed her papers for the next hour before she left the bar.
11,The Madison Hotel.
12,The uncle.
13,The family room.
14,The treasure hunt took place in the family's house and the park next door.
15,The jolly uncle.
16,The bookcase.
17,The treasure hunt took place in the house and the park next door.
18,The uncle.
19,Joshua looked for the treasure first in the yard with the hollow tree.
20,The treasure hunt took place in the neighborhood.
21,The jolly uncle.
22,Joshua looked for the treasure first in the yard with the hollow tree.
23,The neighborhood.
24,The chef would use the gleaming knife to complete his preparations.
25,"No, the chef should not have been so frustrated."
26,In the kitchen.
27,The chef would use the gleaming knife to complete his preparations.
28,"No, the chef should not have been so frustrated."
29,In his kitchen.
30,The chef would use the gleaming knife to complete his preparations.
31,"No, the chef should not have been so frustrated."
32,The chef was in the rented hall.
33,The chef would use the gleaming knife to complete his preparations.
34,"No, the chef should not have been so frustrated."
35,In the rented hall.
36,The lion.
37,A.
38,The exhibit was only a few yards away from the zoo's entrance.
39,The lion.
40,The best answer is A.
41,The exhibit was only a few yards away from the entrance.
42,The lion.
43,Reasoning Skill: Identifying Pros And Cons
44,The exhibit was located right next to the zoo's main entrance.
45,The lion.
46,The text does not provide information about the time it took for Jared and his girls to travel from the zoo's entrance to the exhibit.
47,The exhibit was located far from the zoo's entrance.
48,A plastic chair.
49,The mechanic found his toolbox on the floor of the hangar.
50,He was about to run to his car.
51,The plastic chair.
52,The mechanic found his toolbox when he tripped over it.
53,He tripped over it.
54,A plastic chair.
55,In the remote parking lot.
56,He started sprinting toward his car in the remote parking lot.
57,The plastic chair.
58,In the trunk of his car.
59,He trudged off toward his car in the remote parking lot.
60,A motivating teacher.
61,It took Jason a few seconds to locate his resumes.
62,Jason looked in his bag for his resumes.
63,A motivating teacher.
64,30 minutes
65,The gymnasium floor.
66,A motivating teacher.
67,15 minutes
68,The first place that Jason looked for his resumes was in his bag.
69,A motivating teacher.
70,1 hour and 30 minutes.
71,The first place that Jason looked for his resumes was his house.
72,Yellow roses.
73,The restaurant was across the street from the cemetery.
74,5 minutes
75,Yellow roses.
76,The restaurant was across the street from the cemetery.
77,30 minutes.
78,Yellow roses.
79,Ten minutes away.
80,There is no information in the passage that indicates Tamika had to wait before she was seated at the restaurant.
81,Yellow roses.
82,"The restaurant was in a neighboring town, which is not specified in terms of distance."
83,30 minutes.
84,The hammer.
85,The house next door.
86,"No, the police did not apprehend the criminal in a timely manner."
87,A hammer.
88,The house next door.
89,"No, the police did not apprehend the criminal in a timely manner."
90,A hammer.
91,The abandoned house.
92,"No, the police did not apprehend the criminal in a timely manner."
93,A hammer.
94,The abandoned house.
95,"No, the police did not apprehend the criminal in a timely manner."
96,Cancer.
97,The gift store was located down the hall from the hospital room.
98,The first thing the father did when he left his daughter's room was to sprint down the hall to the gift store.
99,Cancer.
100,The gift store was located just down the hall from the daughter's room on the 7th floor of the hospital.
101,The first thing the father did when he left his daughter's room was to lean against the wall and close his eyes.
102,Cancer.
103,The gift store was located several blocks away from the hospital.
104,The first thing the father did when he left his daughter's room was to sprint through the 7th floor of the hospital to the lobby.
105,Cancer.
106,The gift store was located several blocks away from the hospital.
107,The father waited a long time for the elevator to take him to the lobby.
108,The piano.
109,At her home.
110,None.
111,The piano.
112,At her home.
113,There were 3 students.
114,The piano.
115,In the students' homes.
116,0
117,The piano.
118,She gave her lessons in the homes of her students.
119,3 students.
120,A vintage sailboat.
121,The restaurant was located right next to the dock.
122,5 minutes.
123,A vintage sailboat.
124,The restaurant was located right next to the dock.
125,1 hour.
126,A vintage sailboat.
127,The restaurant was located several miles away from the location where Jason and Jenna climbed out of the vintage sailboat.
128,They did not wait at all.
129,A vintage sailboat.
130,The restaurant was located at the other end of town.
131,30 minutes.
132,The wooden table in the dining room.
133,Joseph first looked for a suitable box in the remaining empty boxes in the apartment.
134,20 minutes.
135,The wooden table in the dining room.
136,Joseph first looked for a suitable box in the remaining empty boxes in the dining room.
137,30 minutes.
138,The wooden table in the dining room.
139,The empty boxes in their apartment.
140,20 minutes.
141,The wooden table in the dining room.
142,The empty boxes in their apartment.
143,2 hours.
144,The friendly animal was the Narayan's dog.
145,Jenna drove her Toyota to the veterinary clinic.
146,10 minutes
147,The friendly animal was the Narayan's dog.
148,Jenna walked to the veterinary clinic.
149,1 hour and 30 minutes.
150,The friendly dog.
151,Jenna drove her Toyota to the veterinary clinic.
152,20 minutes.
153,The friendly dog.
154,Jenna walked to the veterinary clinic.
155,4 hours and 30 minutes.
156,Apples.
157,"Yes, Jessie arrived at the judge's tent in a timely manner."
158,20 steps.
159,Apples.
160,"No, Jessie did not arrive at the judge's tent in a timely manner."
161,20 steps.
162,Apples.
163,"No, Jessie did not arrive at the judge's tent in a timely manner."
164,1
165,Apples.
166,"No, Jessie did not arrive at the judge's tent in a timely manner."
167,2 miles.
168,Keisha left her glossy paperback on the bench.
169,Keisha had issues with her car breaking down and knee pain.
170,"Yes, Keisha arrived at work in a timely manner."
171,The answer is not provided in the passage.
172,"Keisha had issues with her car breaking down, missing the 8:57 bus, waiting for the 10:25 bus that never arrived, and then having to walk to work."
173,"No, Keisha did not arrive at work in a timely manner."
174,Keisha left her glossy paperback on the bench.
175,Keisha had issues with her car breaking down and then she left her book on the bench at the bus stop.
176,"Yes, she did."
177,The answer is not provided in the passage.
178,Keisha had several issues getting to work.
179,"No, she did not."
180,The gun.
181,"Ryan found his kit for processing crime scenes in his car, which was parked in the driveway of the house where the crime scene was located."
182,1 minute.
183,The gun.
184,Ryan found his kit for processing crime scenes in his car.
185,30 minutes.
186,The gun lying ominously in the doorway.
187,At his house.
188,5 minutes
189,The gun lying ominously in the doorway.
190,At his house.
191,1 hour.
192,There is no information in the passage about the specific type of clothing Sarah bought for her sister.
193,30 minutes.
194,The first place that Sarah tried to find her sister's birthday present was a chic boutique that catered to the tastes of the young and the fashionable.
195,Sarah bought a pair of trendy pants for her sister.
196,Several hours.
197,The store was a chic boutique that catered to the tastes of the young and the fashionable.
198,Sarah bought a pair of trendy pants.
199,30 minutes.
200,The first place that Sarah tried to find her sister's birthday present was the mall.
201,Sarah bought a pair of trendy pants.
202,4 hours.
203,The mall.
204,Diamonds.
205,The woman traveled from the floor of the jewelry store to the side of the building.
206,"No, the robbers were not still in the jewelry store when the police arrived."
